,cps19_fed_gov_sat,cps19_spend_env,cps19_fed_id,cps19_province,cps19_education,cps19_age,cps19_imp_iss_party
17084,Fairly satisfied,Spend more,Green,Ontario,Bachelor's degree,65,Green Party
17085,Fairly satisfied,Spend about the same as now,Liberal,Ontario,"Completed technical, community college, CEGEP, College Classique",61,Liberal Party
17086,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Bachelor's degree,31,
17087,Very satisfied,Spend more,Liberal,Quebec,Some university,69,Liberal Party
17088,Fairly satisfied,Spend more,Liberal,Quebec,"Some technical, community college, CEGEP, College Classique",46,Don't know/ Prefer not to answer
17089,Not at all satisfied,Spend more,Conservative,Ontario,"Completed technical, community college, CEGEP, College Classique",77,Conservative Party
17090,Not at all satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Bachelor's degree,37,Green Party
17091,Fairly satisfied,Spend more,Liberal,Ontario,"Some technical, community college, CEGEP, College Classique",56,Conservative Party
17092,Fairly satisfied,Spend more,Don't know/ Prefer not to answer,Quebec,Bachelor's degree,81,
17093,Not very satisfied,Spend more,ndp,Ontario,Some university,34,
17094,Not very satisfied,Spend about the same as now,ndp,Quebec,Some university,51,Liberal Party
17095,Not very satisfied,Don't know/ Prefer not to answer,Bloc Qu<e9>b<e9>cois,Quebec,Don't know/ Prefer not to answer,53,
17096,Fairly satisfied,Spend more,None of these,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique",59,
17097,Fairly satisfied,Spend more,ndp,New Brunswick,Completed secondary/ high school,43,Liberal Party
17098,Not very satisfied,Spend more,Conservative,Quebec,"Some technical, community college, CEGEP, College Classique",34,Liberal Party
17099,Fairly satisfied,Spend more,Liberal,Nova Scotia,"Some technical, community college, CEGEP, College Classique",27,ndp
17100,Not at all satisfied,Spend more,Conservative,Alberta,Master's degree,51,Conservative Party
17101,Not very satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,"Some technical, community college, CEGEP, College Classique",43,Bloc Qu<e9>b<e9>cois
17102,Not at all satisfied,Spend about the same as now,Conservative,Ontario,"Completed technical, community college, CEGEP, College Classique",59,Conservative Party
17103,Fairly satisfied,Spend more,Liberal,Newfoundland and Labrador,"Some technical, community college, CEGEP, College Classique",70,
17104,Not very satisfied,Spend more,None of these,Quebec,Bachelor's degree,56,
17105,Fairly satisfied,Spend more,Liberal,Quebec,Bachelor's degree,53,Liberal Party
17106,Fairly satisfied,Spend more,Liberal,Nova Scotia,"Completed technical, community college, CEGEP, College Classique",52,
17107,Fairly satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,79,Liberal Party
17108,Not at all satisfied,Spend about the same as now,None of these,Ontario,"Completed technical, community college, CEGEP, College Classique",70,
17109,Not very satisfied,Spend about the same as now,Green,Prince Edward Island,Completed secondary/ high school,20,
17110,Fairly satisfied,Spend more,Green,Quebec,"Some technical, community college, CEGEP, College Classique",46,Green Party
17111,Not very satisfied,Spend about the same as now,Conservative,Quebec,Professional degree or doctorate,73,Conservative Party
17112,Not at all satisfied,Spend about the same as now,Conservative,Saskatchewan,Completed secondary/ high school,62,Don't know/ Prefer not to answer
17113,Fairly satisfied,Spend more,Liberal,Quebec,Some university,72,Green Party
