,cps19_fed_gov_sat,cps19_spend_env,cps19_fed_id,cps19_province,cps19_education,cps19_age,cps19_imp_iss_party
8251,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,23,Green Party
8252,Fairly satisfied,Spend more,None of these,Ontario,Bachelor's degree,63,ndp
8253,Not very satisfied,Spend about the same as now,Liberal,British Columbia,"Some technical, community college, CEGEP, College Classique",70,Another party (please specify)
8254,Not very satisfied,Spend more,ndp,Manitoba,Completed secondary/ high school,19,Green Party
8255,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,45,Liberal Party
8256,Not very satisfied,Spend more,Liberal,British Columbia,Professional degree or doctorate,42,Don't know/ Prefer not to answer
8257,Not at all satisfied,Spend less,Conservative,British Columbia,Completed secondary/ high school,73,Don't know/ Prefer not to answer
8258,Not very satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Quebec,Some university,66,Don't know/ Prefer not to answer
8259,Not very satisfied,Spend more,Liberal,Ontario,Some university,75,Don't know/ Prefer not to answer
8260,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Bachelor's degree,38,Don't know/ Prefer not to answer
8261,Very satisfied,Spend more,Liberal,Quebec,"Completed technical, community college, CEGEP, College Classique",57,
8262,Not at all satisfied,Don't know/ Prefer not to answer,Don't know/ Prefer not to answer,Ontario,Completed secondary/ high school,46,Don't know/ Prefer not to answer
8263,Very satisfied,Spend more,Liberal,Alberta,Some university,77,Liberal Party
8264,Not at all satisfied,Spend more,None of these,British Columbia,"Completed technical, community college, CEGEP, College Classique",51,ndp
8265,Not very satisfied,Spend more,Green,British Columbia,"Completed technical, community college, CEGEP, College Classique",50,
8266,Not very satisfied,Spend more,ndp,Ontario,Master's degree,38,Green Party
8267,Not very satisfied,Spend more,Liberal,Ontario,"Completed technical, community college, CEGEP, College Classique",86,Don't know/ Prefer not to answer
8268,Very satisfied,Spend more,Liberal,Ontario,Some university,42,
8269,Not very satisfied,Spend more,ndp,Quebec,"Completed technical, community college, CEGEP, College Classique",26,ndp
8270,Not at all satisfied,Spend about the same as now,People's Party,Ontario,"Some technical, community college, CEGEP, College Classique",65,People's Party
8271,Not very satisfied,Spend more,ndp,Ontario,"Completed technical, community college, CEGEP, College Classique",37,Liberal Party
8272,Very satisfied,Spend more,Liberal,Ontario,"Some technical, community college, CEGEP, College Classique",26,Liberal Party
8273,Not at all satisfied,Spend more,ndp,British Columbia,Bachelor's degree,69,Green Party
8274,Not very satisfied,Spend more,Don't know/ Prefer not to answer,Ontario,"Some technical, community college, CEGEP, College Classique",70,Liberal Party
8275,Not very satisfied,Don't know/ Prefer not to answer,Conservative,Manitoba,Some elementary school,73,Don't know/ Prefer not to answer
8276,Not very satisfied,Spend more,Liberal,Quebec,Some secondary/ high school,49,
8277,Not very satisfied,Spend more,ndp,Ontario,Bachelor's degree,46,Don't know/ Prefer not to answer
8278,Not very satisfied,Spend about the same as now,Conservative,British Columbia,Some university,70,Conservative Party
8279,Fairly satisfied,Spend more,ndp,Ontario,Master's degree,53,
8280,Very satisfied,Spend more,Liberal,Ontario,"Some technical, community college, CEGEP, College Classique",58,Liberal Party
8281,Fairly satisfied,Spend more,Green,Alberta,"Some technical, community college, CEGEP, College Classique",33,Green Party
8282,Very satisfied,Spend more,Liberal,Quebec,Bachelor's degree,33,
8283,Not very satisfied,Spend more,ndp,Manitoba,Bachelor's degree,31,ndp
8284,Not at all satisfied,Spend about the same as now,Conservative,Quebec,"Completed technical, community college, CEGEP, College Classique",46,Conservative Party
8285,Not at all satisfied,Spend more,Conservative,Alberta,"Completed technical, community college, CEGEP, College Classique",70,Don't know/ Prefer not to answer
8286,Fairly satisfied,Spend less,None of these,Quebec,"Some technical, community college, CEGEP, College Classique",53,Don't know/ Prefer not to answer
8287,Fairly satisfied,Spend more,Liberal,Quebec,"Some technical, community college, CEGEP, College Classique",37,Liberal Party
8288,Fairly satisfied,Spend more,Liberal,Quebec,"Completed technical, community college, CEGEP, College Classique",72,Green Party
8289,Fairly satisfied,Spend about the same as now,Liberal,Quebec,"Completed technical, community college, CEGEP, College Classique",71,Liberal Party
8290,Not very satisfied,Spend more,Liberal,Ontario,Professional degree or doctorate,66,Conservative Party
8291,Very satisfied,Spend more,Liberal,Ontario,Master's degree,54,
8292,Not at all satisfied,Spend more,None of these,Ontario,"Completed technical, community college, CEGEP, College Classique",55,ndp
8293,Fairly satisfied,Spend more,Another party (please specify),Alberta,Completed secondary/ high school,35,Liberal Party
8294,Fairly satisfied,Spend more,Conservative,Ontario,Professional degree or doctorate,36,Another party (please specify)
8295,Not very satisfied,Spend more,Conservative,Alberta,Bachelor's degree,26,ndp
8296,Fairly satisfied,Spend more,Liberal,Alberta,Some university,67,Liberal Party
8297,Don't know/ Prefer not to answer,Spend more,ndp,Ontario,Master's degree,24,
8298,Not very satisfied,Spend more,Conservative,British Columbia,Bachelor's degree,73,People's Party
8299,Not very satisfied,Spend more,Liberal,Alberta,"Completed technical, community college, CEGEP, College Classique",51,Green Party
8300,Not at all satisfied,Spend about the same as now,None of these,Alberta,Some secondary/ high school,67,Conservative Party
8301,Very satisfied,Spend more,Liberal,Quebec,Some university,39,
8302,Fairly satisfied,Spend more,ndp,British Columbia,Some secondary/ high school,58,ndp
8303,Not very satisfied,Spend more,Liberal,Ontario,Some university,59,Liberal Party
8304,Not very satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Completed secondary/ high school,64,Don't know/ Prefer not to answer
8305,Fairly satisfied,Spend more,Liberal,Quebec,Bachelor's degree,75,Liberal Party
8306,Not very satisfied,Spend less,Liberal,Ontario,"Some technical, community college, CEGEP, College Classique",21,Liberal Party
8307,Fairly satisfied,Spend more,Liberal,Manitoba,Master's degree,71,Don't know/ Prefer not to answer
8308,Not at all satisfied,Spend less,Conservative,Alberta,Completed secondary/ high school,62,Conservative Party
8309,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,64,Green Party
8310,Not at all satisfied,Spend about the same as now,Conservative,Manitoba,Bachelor's degree,73,Conservative Party
8311,Very satisfied,Spend more,Liberal,Ontario,Bachelor's degree,44,Liberal Party
8312,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,60,Liberal Party
8313,Fairly satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,"Some technical, community college, CEGEP, College Classique",54,Green Party
8314,Fairly satisfied,Spend about the same as now,Liberal,Ontario,Bachelor's degree,56,Liberal Party
8315,Not at all satisfied,Spend less,Green,Quebec,Master's degree,37,Green Party
8316,Not very satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,63,Green Party
8317,Fairly satisfied,Spend more,Conservative,Quebec,Some secondary/ high school,21,
8318,Not very satisfied,Spend more,Conservative,British Columbia,Bachelor's degree,78,Conservative Party
8319,Not at all satisfied,Spend about the same as now,Liberal,British Columbia,Bachelor's degree,39,Conservative Party
8320,Not very satisfied,Spend more,Don't know/ Prefer not to answer,British Columbia,Bachelor's degree,46,Conservative Party
8321,Not at all satisfied,Spend more,Conservative,Ontario,"Completed technical, community college, CEGEP, College Classique",65,ndp
8322,Fairly satisfied,Spend about the same as now,Liberal,Saskatchewan,Bachelor's degree,35,Liberal Party
8323,Fairly satisfied,Spend more,Liberal,Quebec,"Completed technical, community college, CEGEP, College Classique",76,Liberal Party
8324,Not at all satisfied,Spend about the same as now,Conservative,Quebec,Completed secondary/ high school,40,
8325,Not at all satisfied,Spend about the same as now,Conservative,Alberta,"Some technical, community college, CEGEP, College Classique",65,Conservative Party
8326,Not very satisfied,Spend more,Conservative,Nova Scotia,Bachelor's degree,64,ndp
8327,Fairly satisfied,Spend about the same as now,ndp,Ontario,Completed secondary/ high school,58,
8328,Not at all satisfied,Spend more,ndp,Ontario,Some university,19,Green Party
8329,Fairly satisfied,Spend more,Liberal,British Columbia,"Some technical, community college, CEGEP, College Classique",73,Don't know/ Prefer not to answer
8330,Fairly satisfied,Spend more,ndp,British Columbia,Master's degree,62,Don't know/ Prefer not to answer
8331,Not at all satisfied,Spend about the same as now,Bloc Qu<e9>b<e9>cois,Quebec,"Completed technical, community college, CEGEP, College Classique",61,Another party (please specify)
8332,Fairly satisfied,Spend more,Liberal,British Columbia,Some university,70,Liberal Party
8333,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Bachelor's degree,80,Conservative Party
8334,Fairly satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,57,Liberal Party
8335,Not very satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,"Completed technical, community college, CEGEP, College Classique",63,Don't know/ Prefer not to answer
8336,Fairly satisfied,Spend more,Liberal,New Brunswick,"Completed technical, community college, CEGEP, College Classique",26,Green Party
8337,Not very satisfied,Spend more,Don't know/ Prefer not to answer,British Columbia,"Completed technical, community college, CEGEP, College Classique",62,Don't know/ Prefer not to answer
8338,Not very satisfied,Spend about the same as now,Conservative,British Columbia,"Completed technical, community college, CEGEP, College Classique",74,Conservative Party
8339,Not at all satisfied,Spend more,Conservative,Ontario,Bachelor's degree,63,Conservative Party
8340,Fairly satisfied,Spend more,Green,Quebec,Professional degree or doctorate,40,Green Party
8341,Very satisfied,Spend more,Liberal,Ontario,Some university,36,
8342,Not at all satisfied,Spend more,Conservative,British Columbia,Some university,71,Conservative Party
8343,Not very satisfied,Spend about the same as now,Conservative,British Columbia,Completed secondary/ high school,62,Conservative Party
8344,Fairly satisfied,Spend more,Liberal,Quebec,"Completed technical, community college, CEGEP, College Classique",24,Liberal Party
8345,Not at all satisfied,Spend more,Don't know/ Prefer not to answer,Saskatchewan,Bachelor's degree,69,Conservative Party
8346,Fairly satisfied,Spend more,Don't know/ Prefer not to answer,British Columbia,Bachelor's degree,41,Green Party
8347,Fairly satisfied,Spend about the same as now,Liberal,Quebec,"Some technical, community college, CEGEP, College Classique",66,Liberal Party
8348,Fairly satisfied,Spend more,Liberal,Ontario,Some university,49,ndp
8349,Not very satisfied,Spend about the same as now,Conservative,New Brunswick,Completed secondary/ high school,27,
8350,Not very satisfied,Spend about the same as now,Conservative,Alberta,"Completed technical, community college, CEGEP, College Classique",76,Conservative Party
8351,Very satisfied,Spend about the same as now,Liberal,British Columbia,"Completed technical, community college, CEGEP, College Classique",65,Liberal Party
8352,Fairly satisfied,Spend more,ndp,Ontario,Bachelor's degree,29,ndp
8353,Not at all satisfied,Spend less,Liberal,Alberta,"Some technical, community college, CEGEP, College Classique",82,
8354,Not at all satisfied,Spend more,Conservative,British Columbia,"Some technical, community college, CEGEP, College Classique",63,Don't know/ Prefer not to answer
8355,Not at all satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Master's degree,57,Green Party
8356,Not at all satisfied,Spend about the same as now,Conservative,Quebec,Bachelor's degree,54,Conservative Party
8357,Not at all satisfied,Spend less,Don't know/ Prefer not to answer,British Columbia,"Some technical, community college, CEGEP, College Classique",45,
8358,Fairly satisfied,Spend more,Liberal,Ontario,"Completed technical, community college, CEGEP, College Classique",22,
8359,Fairly satisfied,Spend more,ndp,British Columbia,Master's degree,72,ndp
8360,Fairly satisfied,Spend more,Liberal,Ontario,"Completed technical, community college, CEGEP, College Classique",36,
8361,Not very satisfied,Spend about the same as now,Conservative,British Columbia,Bachelor's degree,42,Conservative Party
8362,Not very satisfied,Spend more,Liberal,Alberta,Professional degree or doctorate,38,Conservative Party
8363,Not very satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Some university,73,Bloc Qu<e9>b<e9>cois
8364,Fairly satisfied,Spend more,Liberal,Ontario,Master's degree,72,Green Party
8365,Not very satisfied,Spend about the same as now,Conservative,Ontario,Completed secondary/ high school,59,Conservative Party
8366,Fairly satisfied,Spend more,Liberal,Ontario,Master's degree,57,Liberal Party
8367,Fairly satisfied,Spend more,None of these,Ontario,"Some technical, community college, CEGEP, College Classique",41,Don't know/ Prefer not to answer
8368,Not very satisfied,Spend about the same as now,Conservative,Ontario,"Completed technical, community college, CEGEP, College Classique",36,Conservative Party
8369,Fairly satisfied,Spend more,Liberal,Quebec,Master's degree,38,Liberal Party
8370,Don't know/ Prefer not to answer,Spend more,Don't know/ Prefer not to answer,Quebec,"Some technical, community college, CEGEP, College Classique",45,Don't know/ Prefer not to answer
8371,Not at all satisfied,Spend about the same as now,Conservative,New Brunswick,Some university,69,Conservative Party
8372,Fairly satisfied,Spend about the same as now,Conservative,Ontario,Completed elementary school,33,Liberal Party
8373,Fairly satisfied,Spend more,Liberal,Manitoba,Master's degree,71,Liberal Party
8374,Fairly satisfied,Spend about the same as now,Liberal,Manitoba,Some university,67,Liberal Party
8375,Not at all satisfied,Spend more,Conservative,Ontario,Bachelor's degree,64,Green Party
8376,Not at all satisfied,Spend about the same as now,Liberal,Ontario,Bachelor's degree,54,Liberal Party
8377,Not at all satisfied,Spend about the same as now,Bloc Qu<e9>b<e9>cois,Quebec,"Completed technical, community college, CEGEP, College Classique",75,Bloc Qu<e9>b<e9>cois
8378,Not at all satisfied,Spend more,Don't know/ Prefer not to answer,Ontario,"Completed technical, community college, CEGEP, College Classique",52,Don't know/ Prefer not to answer
8379,Fairly satisfied,Spend more,None of these,Ontario,"Some technical, community college, CEGEP, College Classique",80,Liberal Party
8380,Fairly satisfied,Spend more,ndp,Ontario,Bachelor's degree,29,ndp
8381,Not at all satisfied,Don't know/ Prefer not to answer,None of these,Alberta,"Some technical, community college, CEGEP, College Classique",43,People's Party
8382,Fairly satisfied,Spend about the same as now,Conservative,Ontario,"Completed technical, community college, CEGEP, College Classique",68,Conservative Party
8383,Not at all satisfied,Spend more,None of these,Ontario,Completed secondary/ high school,58,
8384,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Some university,69,Conservative Party
8385,Not at all satisfied,Spend about the same as now,Conservative,Saskatchewan,Completed secondary/ high school,77,Conservative Party
8386,Not very satisfied,Spend more,Liberal,Ontario,"Completed technical, community college, CEGEP, College Classique",66,
8387,Not very satisfied,Spend more,Conservative,Ontario,"Some technical, community college, CEGEP, College Classique",61,Don't know/ Prefer not to answer
8388,Not at all satisfied,Spend more,Conservative,Alberta,Some secondary/ high school,69,Conservative Party
8389,Not very satisfied,Spend less,Conservative,Ontario,"Completed technical, community college, CEGEP, College Classique",62,
8390,Not very satisfied,Spend more,None of these,Ontario,Master's degree,71,Green Party
8391,Not very satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Bachelor's degree,66,Bloc Qu<e9>b<e9>cois
8392,Not at all satisfied,Spend more,Conservative,British Columbia,Bachelor's degree,25,Don't know/ Prefer not to answer
8393,Not at all satisfied,Spend less,None of these,Ontario,"Completed technical, community college, CEGEP, College Classique",44,Conservative Party
8394,Not very satisfied,Spend more,Don't know/ Prefer not to answer,Alberta,Bachelor's degree,57,Conservative Party
8395,Not at all satisfied,Spend more,Conservative,Ontario,Master's degree,73,Conservative Party
8396,Not at all satisfied,Spend more,Liberal,British Columbia,Bachelor's degree,54,Don't know/ Prefer not to answer
8397,Fairly satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Quebec,"Completed technical, community college, CEGEP, College Classique",65,
8398,Fairly satisfied,Spend about the same as now,Liberal,Quebec,"Completed technical, community college, CEGEP, College Classique",50,Liberal Party
8399,Not at all satisfied,Spend less,Conservative,Alberta,Bachelor's degree,66,Conservative Party
8400,Not very satisfied,Spend about the same as now,Conservative,Ontario,Bachelor's degree,55,Conservative Party
8401,Don't know/ Prefer not to answer,Spend more,Liberal,Ontario,Bachelor's degree,66,
8402,Not very satisfied,Spend about the same as now,Bloc Qu<e9>b<e9>cois,Quebec,Professional degree or doctorate,69,Bloc Qu<e9>b<e9>cois
8403,Not at all satisfied,Spend about the same as now,None of these,Quebec,"Completed technical, community college, CEGEP, College Classique",28,
8404,Not very satisfied,Spend more,ndp,Ontario,"Completed technical, community college, CEGEP, College Classique",99,Don't know/ Prefer not to answer
8405,Not at all satisfied,Spend more,ndp,Ontario,"Completed technical, community college, CEGEP, College Classique",23,
8406,Fairly satisfied,Spend about the same as now,Liberal,Ontario,Completed secondary/ high school,44,Don't know/ Prefer not to answer
8407,Not at all satisfied,Spend more,None of these,Alberta,Some university,71,Green Party
8408,Fairly satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Bachelor's degree,44,Liberal Party
8409,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Bachelor's degree,71,Conservative Party
8410,Fairly satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,55,Liberal Party
8411,Very satisfied,Spend more,Liberal,Ontario,Bachelor's degree,67,Liberal Party
8412,Very satisfied,Spend about the same as now,Liberal,British Columbia,Some university,71,Liberal Party
8413,Not very satisfied,Spend more,ndp,Ontario,"Completed technical, community college, CEGEP, College Classique",70,ndp
8414,Not very satisfied,Spend about the same as now,Liberal,Ontario,Some university,70,Conservative Party
8415,Fairly satisfied,Spend more,Liberal,Saskatchewan,Bachelor's degree,73,Liberal Party
8416,Not very satisfied,Spend more,Liberal,Alberta,"Some technical, community college, CEGEP, College Classique",41,Don't know/ Prefer not to answer
8417,Fairly satisfied,Spend more,ndp,Saskatchewan,Master's degree,70,Don't know/ Prefer not to answer
8418,Not at all satisfied,Spend about the same as now,Conservative,Saskatchewan,Bachelor's degree,80,Conservative Party
8419,Very satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,97,
8420,Not at all satisfied,Spend more,Conservative,Alberta,"Completed technical, community college, CEGEP, College Classique",34,Don't know/ Prefer not to answer
8421,Not at all satisfied,Spend more,Don't know/ Prefer not to answer,Ontario,"Some technical, community college, CEGEP, College Classique",52,Don't know/ Prefer not to answer
8422,Very satisfied,Spend more,Liberal,Alberta,"Completed technical, community college, CEGEP, College Classique",47,Liberal Party
8423,Not at all satisfied,Spend more,Conservative,Ontario,Some university,60,Conservative Party
8424,Not at all satisfied,Spend more,Liberal,Quebec,"Some technical, community college, CEGEP, College Classique",79,Green Party
8425,Fairly satisfied,Spend more,Liberal,Ontario,Some university,48,Liberal Party
8426,Fairly satisfied,Spend more,ndp,Quebec,Completed secondary/ high school,25,Conservative Party
8427,Fairly satisfied,Spend more,Liberal,Ontario,Master's degree,70,Green Party
8428,Fairly satisfied,Spend about the same as now,Liberal,Ontario,"Some technical, community college, CEGEP, College Classique",33,Liberal Party
8429,Fairly satisfied,Spend more,Liberal,British Columbia,Bachelor's degree,60,
8430,Not very satisfied,Spend more,Conservative,Ontario,Some university,52,ndp
8431,Fairly satisfied,Spend more,Don't know/ Prefer not to answer,Ontario,"Completed technical, community college, CEGEP, College Classique",71,Don't know/ Prefer not to answer
8432,Not at all satisfied,Spend less,Conservative,Alberta,Bachelor's degree,42,Conservative Party
8433,Not very satisfied,Spend less,Liberal,Ontario,"Some technical, community college, CEGEP, College Classique",47,Don't know/ Prefer not to answer
8434,Not very satisfied,Spend more,Conservative,Ontario,Some university,21,
8435,Fairly satisfied,Spend more,Liberal,Quebec,Completed secondary/ high school,69,Liberal Party
8436,Fairly satisfied,Spend about the same as now,Conservative,Quebec,Some secondary/ high school,46,
8437,Not very satisfied,Spend about the same as now,Liberal,Ontario,"Completed technical, community college, CEGEP, College Classique",42,Don't know/ Prefer not to answer
8438,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Professional degree or doctorate,74,Conservative Party
8439,Not at all satisfied,Spend more,Conservative,Ontario,Master's degree,67,Conservative Party
8440,Fairly satisfied,Spend more,ndp,Ontario,Completed secondary/ high school,67,Liberal Party
8441,Not at all satisfied,Spend less,Conservative,British Columbia,Some university,73,Conservative Party
8442,Not very satisfied,Spend about the same as now,Conservative,Ontario,Master's degree,70,Don't know/ Prefer not to answer
8443,Fairly satisfied,Spend more,None of these,Ontario,"Completed technical, community college, CEGEP, College Classique",55,ndp
8444,Not very satisfied,Spend more,Conservative,Alberta,"Some technical, community college, CEGEP, College Classique",71,Conservative Party
8445,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Master's degree,32,Conservative Party
8446,Fairly satisfied,Spend more,Liberal,Ontario,Some secondary/ high school,39,
8447,Not at all satisfied,Spend more,ndp,Quebec,"Completed technical, community college, CEGEP, College Classique",45,
8448,Not very satisfied,Spend more,Conservative,British Columbia,"Some technical, community college, CEGEP, College Classique",78,Conservative Party
8449,Not at all satisfied,Spend more,Conservative,British Columbia,"Completed technical, community college, CEGEP, College Classique",61,Conservative Party
8450,Fairly satisfied,Spend more,Don't know/ Prefer not to answer,Manitoba,Bachelor's degree,78,
8451,Fairly satisfied,Spend more,Don't know/ Prefer not to answer,Quebec,"Some technical, community college, CEGEP, College Classique",68,Don't know/ Prefer not to answer
8452,Not at all satisfied,Spend more,Conservative,Quebec,Bachelor's degree,66,Conservative Party
8453,Not very satisfied,Spend more,Liberal,Quebec,"Some technical, community college, CEGEP, College Classique",65,Don't know/ Prefer not to answer
8454,Not at all satisfied,Spend more,ndp,British Columbia,"Completed technical, community college, CEGEP, College Classique",73,ndp
8455,Not at all satisfied,Spend about the same as now,None of these,Ontario,Bachelor's degree,37,Conservative Party
8456,Fairly satisfied,Spend about the same as now,Liberal,Ontario,Master's degree,54,ndp
8457,Not very satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Bachelor's degree,73,Green Party
8458,Not very satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Some university,73,Bloc Qu<e9>b<e9>cois
8459,Not very satisfied,Spend more,Liberal,British Columbia,Professional degree or doctorate,64,
8460,Not at all satisfied,Spend less,Conservative,Ontario,Professional degree or doctorate,64,Conservative Party
8461,Not at all satisfied,Spend more,Conservative,Ontario,"Completed technical, community college, CEGEP, College Classique",78,Green Party
8462,Fairly satisfied,Spend more,Liberal,Quebec,Some university,66,Green Party
8463,Not at all satisfied,Spend less,Conservative,British Columbia,Some university,72,Conservative Party
8464,Fairly satisfied,Spend about the same as now,Conservative,Ontario,Bachelor's degree,50,Conservative Party
8465,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Bachelor's degree,75,Conservative Party
8466,Not at all satisfied,Spend more,Conservative,Manitoba,Some secondary/ high school,80,Don't know/ Prefer not to answer
8467,Not at all satisfied,Spend more,Conservative,New Brunswick,Completed secondary/ high school,58,Another party (please specify)
8468,Not very satisfied,Spend less,People's Party,British Columbia,Some university,22,
8469,Not very satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,"Completed technical, community college, CEGEP, College Classique",39,Green Party
8470,Fairly satisfied,Spend about the same as now,Liberal,Ontario,Some university,19,
8471,Not at all satisfied,Spend less,Conservative,Ontario,Master's degree,75,Conservative Party
8472,Not very satisfied,Spend more,ndp,Quebec,Completed secondary/ high school,56,Don't know/ Prefer not to answer
8473,Fairly satisfied,Spend about the same as now,People's Party,Ontario,Bachelor's degree,26,
8474,Very satisfied,Don't know/ Prefer not to answer,Liberal,Ontario,"Some technical, community college, CEGEP, College Classique",27,Liberal Party
8475,Not very satisfied,Spend about the same as now,None of these,Ontario,"Completed technical, community college, CEGEP, College Classique",71,Don't know/ Prefer not to answer
8476,Fairly satisfied,Spend about the same as now,ndp,Ontario,"Some technical, community college, CEGEP, College Classique",40,
8477,Very satisfied,Spend about the same as now,Liberal,Newfoundland and Labrador,"Some technical, community college, CEGEP, College Classique",23,Liberal Party
8478,Not at all satisfied,Spend more,Conservative,Alberta,"Some technical, community college, CEGEP, College Classique",28,
8479,Not at all satisfied,Spend about the same as now,Conservative,British Columbia,Bachelor's degree,72,Conservative Party
8480,Not very satisfied,Spend more,Green,British Columbia,Bachelor's degree,47,Don't know/ Prefer not to answer
8481,Not very satisfied,Spend more,Don't know/ Prefer not to answer,Quebec,"Completed technical, community college, CEGEP, College Classique",20,Green Party
8482,Not very satisfied,Spend more,None of these,British Columbia,Master's degree,59,Green Party
8483,Not very satisfied,Spend about the same as now,Conservative,Saskatchewan,Bachelor's degree,40,Conservative Party
8484,Fairly satisfied,Spend more,None of these,Ontario,"Completed technical, community college, CEGEP, College Classique",38,Liberal Party
8485,Not at all satisfied,Spend about the same as now,Green,Alberta,"Some technical, community college, CEGEP, College Classique",53,Don't know/ Prefer not to answer
8486,Fairly satisfied,Spend more,Liberal,Alberta,Some university,36,ndp
8487,Not very satisfied,Spend more,None of these,Ontario,Bachelor's degree,60,ndp
8488,Not very satisfied,Spend about the same as now,None of these,Quebec,Bachelor's degree,62,Green Party
8489,Not very satisfied,Spend about the same as now,Conservative,Ontario,Bachelor's degree,55,Conservative Party
8490,Not at all satisfied,Spend about the same as now,Conservative,Alberta,Some secondary/ high school,64,Conservative Party
8491,Fairly satisfied,Spend more,Green,Manitoba,Bachelor's degree,25,Green Party
8492,Not very satisfied,Spend more,ndp,Manitoba,Bachelor's degree,24,ndp
8493,Not very satisfied,Spend more,Conservative,Alberta,Master's degree,51,Conservative Party
8494,Fairly satisfied,Spend more,Liberal,Quebec,Master's degree,40,ndp
8495,Not very satisfied,Spend about the same as now,Conservative,Ontario,Completed secondary/ high school,49,Conservative Party
8496,Fairly satisfied,Spend more,Liberal,Ontario,Master's degree,45,Liberal Party
8497,Not at all satisfied,Spend about the same as now,Conservative,Ontario,"Completed technical, community college, CEGEP, College Classique",64,People's Party
8498,Not at all satisfied,Don't know/ Prefer not to answer,Conservative,Ontario,Bachelor's degree,37,Conservative Party
8499,Not at all satisfied,Spend about the same as now,None of these,Saskatchewan,"Completed technical, community college, CEGEP, College Classique",50,Conservative Party
8500,Not at all satisfied,Spend less,Don't know/ Prefer not to answer,British Columbia,Bachelor's degree,29,
8501,Not at all satisfied,Spend more,Conservative,Alberta,Some secondary/ high school,40,Conservative Party
8502,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Bachelor's degree,39,Conservative Party
8503,Not very satisfied,Spend more,Conservative,British Columbia,Completed secondary/ high school,70,Green Party
8504,Not at all satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Saskatchewan,Master's degree,30,Don't know/ Prefer not to answer
8505,Fairly satisfied,Spend more,Liberal,New Brunswick,Professional degree or doctorate,57,Liberal Party
8506,Not very satisfied,Spend about the same as now,ndp,Newfoundland and Labrador,Bachelor's degree,30,ndp
8507,Not at all satisfied,Spend more,Conservative,Quebec,Completed secondary/ high school,57,Conservative Party
8508,Not at all satisfied,Spend less,Conservative,British Columbia,"Completed technical, community college, CEGEP, College Classique",48,Conservative Party
8509,Not at all satisfied,Spend about the same as now,Conservative,Manitoba,Completed secondary/ high school,55,Conservative Party
8510,Not at all satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Ontario,"Some technical, community college, CEGEP, College Classique",48,Don't know/ Prefer not to answer
8511,Fairly satisfied,Spend more,Green,Ontario,Completed secondary/ high school,33,Green Party
8512,Fairly satisfied,Spend more,Liberal,Ontario,Professional degree or doctorate,69,Green Party
8513,Not very satisfied,Spend more,Green,Alberta,Completed secondary/ high school,30,Green Party
8514,Not at all satisfied,Spend more,Conservative,Ontario,"Some technical, community college, CEGEP, College Classique",73,Conservative Party
8515,Very satisfied,Spend more,Another party (please specify),Ontario,Completed secondary/ high school,38,Green Party
8516,Not very satisfied,Spend more,Green,Nova Scotia,"Some technical, community college, CEGEP, College Classique",67,Green Party
8517,Not at all satisfied,Spend about the same as now,ndp,Ontario,Master's degree,36,ndp
8518,Fairly satisfied,Spend more,Liberal,Ontario,Master's degree,67,Liberal Party
8519,Not very satisfied,Spend more,Liberal,Ontario,Master's degree,45,Liberal Party
8520,Not at all satisfied,Spend more,Conservative,Alberta,Some university,76,
8521,Don't know/ Prefer not to answer,Spend more,Don't know/ Prefer not to answer,New Brunswick,"Completed technical, community college, CEGEP, College Classique",30,
8522,Fairly satisfied,Spend more,Liberal,Ontario,Master's degree,67,Liberal Party
8523,Not at all satisfied,Spend more,Conservative,Ontario,Bachelor's degree,54,Green Party
